site,Day,s.M1,s.M2,s.M3,s.M4,s.M5,s.M6,s.M7,s.M8,s.M9,s.M10,s.M11,i.M1,i.M2,i.M3,i.M4,i.M5,i.M6,i.M7,i.M8,i.M9,i.M10,i.M11,d.M1,d.M2,d.M3,d.M4,d.M5,d.M6,d.M7,d.M8,d.M9,d.M10,d.M11,mean.s,mean.i,mean.d
CB,0,4,3,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2.36,1,0
CB,1,3,2,2,2,2,2,2,2,2,2,3,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2.18,1.18,0
CB,2,2,1,2,1,1,2,0,2,2,1,3,3,3,1,2,2,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1.55,1.82,0
CB,3,1,1,1,1,0,2,0,2,1,1,1,4,3,2,2,3,1,3,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,2.45,0
CB,4,0,0,1,0,0,2,0,1,0,0,1,4,4,2,3,3,1,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0.45,2.91,0.09
CB,5,0,0,1,0,0,2,0,1,0,0,1,4,4,2,3,3,1,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0.45,2.91,0.09
CB,7,0,0,2,0,0,2,0,1,0,0,0,3,4,2,3,3,1,3,3,3,3,4,2,0,0,0,0,0,0,0,0,0,0,0.45,2.91,0.18
CB,10,0,0,1,0,1,2,0,0,0,0,0,3,4,1,2,1,1,3,4,3,2,4,2,0,2,1,2,0,0,0,0,1,0,0.36,2.55,0.73
CB,14,0,0,0,1,1,3,1,0,0,0,0,3,3,2,2,1,1,3,4,3,2,4,2,2,2,1,2,0,0,0,0,1,0,0.55,2.55,0.91
CB,21,0,0,0,1,0,2,1,0,0,0,0,3,3,2,1,1,2,3,2,0,0,5,2,2,2,2,3,0,0,2,4,3,0,0.36,2,1.82
CB,28,0,0,0,1,0,1,2,1,0,0,0,3,2,2,1,0,2,2,2,0,0,3,3,3,2,2,4,1,1,2,4,3,2,0.45,1.55,2.45
LP,0,3,3,3,3,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2.82,1,0
LP,1,3,2,1,3,3,3,2,2,3,2,2,1,2,3,2,1,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2.36,1.55,0
