researcher,day,month,year,mesocosm,vase,infection,experiment.day,site,no.,exp.leaf.no,current.leaf.no,exp.day.appeared,length.cm,area.cm,lesion.area,wd.lesion.area,clipped,wd.lesion.pc,lesion.presence,lesion.absence,S1.no.leaves,S2.no.leaves,S1.no.leaves.new,S2.no.leaves.new,no.leaves.new,no.leaves.lost,dehisced.senesced,broken.sheath,delta.sheath.length,day.broke,notes,shoot.no,mortality.day,stat,S1.total.length,S2.total.length,rhizome.length,ag.biomass,bg.biomass,shoot.notes
FRS,2,august,2016,20,8,Y,0,WB,18,2,2,NA,56.479,23.743,0,NA,Y,0,0,1,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,78.5,NA,5,NA,NA,.
FRS,2,august,2016,20,8,Y,0,WB,18,3,3,NA,28.237,13.156,0.018,NA,Y,0.137,1,0,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,78.5,NA,5,NA,NA,.
FRS,2,august,2016,19,9,N,0,WB,22,1,1,NA,28.163,10.35,0,NA,N,0,0,1,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,63.1,NA,5,NA,NA,.
FRS,2,august,2016,19,9,N,0,WB,22,2,2,NA,22.671,8.817,0.016,NA,Y,0.181,1,0,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,63.1,NA,5,NA,NA,.
FRS,2,august,2016,19,9,N,0,WB,22,3,3,NA,17.002,6.977,0,NA,Y,0,0,1,3,0,NA,NA,NA,NA,Y,NA,NA,NA,senescent,1,NA,NA,63.1,NA,5,NA,NA,.
FRS,2,august,2016,19,10,Y,0,NB,23,1,1,NA,10.19,4.64,0,NA,N,0,0,1,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,42,NA,5,NA,NA,.
FRS,2,august,2016,19,10,Y,0,NB,23,2,2,NA,27.21,11.692,0,NA,N,0,0,1,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,42,NA,5,NA,NA,.
FRS,2,august,2016,19,10,Y,0,NB,23,3,3,NA,28.332,13.088,0,NA,Y,0,0,1,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,42,NA,5,NA,NA,.
FRS,2,august,2016,19,11,N,0,LP,11,1,1,NA,6.517,2.029,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,39,NA,5,NA,NA,.
FRS,2,august,2016,19,11,N,0,LP,11,2,2,NA,23.051,7.679,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,39,NA,5,NA,NA,.
FRS,2,august,2016,19,11,N,0,LP,11,3,3,NA,28.271,9.833,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,39,NA,5,NA,NA,.
FRS,2,august,2016,19,11,N,0,LP,11,4,4,NA,19.552,7.356,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,39,NA,5,NA,NA,.
FRS,2,august,2016,19,12,Y,0,WB,5,1,1,NA,25.517,10.268,0,NA,N,0,0,1,2,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,55,NA,5,NA,NA,.
FRS,2,august,2016,19,12,Y,0,WB,5,2,2,NA,22.208,9.894,0,NA,Y,0,0,1,2,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,55,NA,5,NA,NA,.
FRS,2,august,2016,19,13,N,0,DC,10,1,1,NA,2.822,1.096,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,44,NA,5,NA,NA,.
FRS,2,august,2016,19,13,N,0,DC,10,2,2,NA,20.914,9.659,0.305,NA,N,3.158,1,0,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,44,NA,5,NA,NA,.
FRS,2,august,2016,19,13,N,0,DC,10,3,3,NA,13.33,5.669,0.017,NA,Y,0.3,1,0,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,44,NA,5,NA,NA,.
FRS,2,august,2016,19,13,N,0,DC,10,4,4,NA,2.621,1.197,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,44,NA,5,NA,NA,.
FRS,2,august,2016,19,14,Y,0,LP,7,1,1,NA,5.866,2.342,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,25.5,NA,5,NA,NA,.
FRS,2,august,2016,19,14,Y,0,LP,7,2,2,NA,17.962,7.908,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,25.5,NA,5,NA,NA,.
FRS,2,august,2016,19,14,Y,0,LP,7,3,3,NA,18.054,7.734,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,25.5,NA,5,NA,NA,.
FRS,2,august,2016,19,14,Y,0,LP,7,4,4,NA,17.618,9.388,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,25.5,NA,5,NA,NA,.
FRS,2,august,2016,19,15,N,0,NB,5,1,1,NA,8.823,3.877,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,44,NA,5,NA,NA,.
FRS,2,august,2016,19,15,N,0,NB,5,2,2,NA,27.281,13.108,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,44,NA,5,NA,NA,.
FRS,2,august,2016,19,15,N,0,NB,5,3,3,NA,31.477,16.003,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,44,NA,5,NA,NA,.
FRS,2,august,2016,19,15,N,0,NB,5,4,4,NA,8.629,4.491,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,44,NA,5,NA,NA,.
FRS,2,august,2016,19,16,Y,0,DC,21,1,1,NA,12.835,6.839,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,50,NA,5,NA,NA,.
FRS,2,august,2016,19,16,Y,0,DC,21,2,2,NA,29.606,16.118,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,50,NA,5,NA,NA,.
FRS,2,august,2016,19,16,Y,0,DC,21,3,3,NA,36.007,20.525,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,50,NA,5,NA,NA,.
FRS,2,august,2016,19,16,Y,0,DC,21,4,4,NA,15.694,9.492,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,50,NA,5,NA,NA,.
FRS,2,august,2016,18,17,N,0,WB,3,1,1,NA,13.401,5.567,0,NA,Y,0,0,1,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,50,NA,5,NA,NA,.
FRS,2,august,2016,18,17,N,0,WB,3,2,2,NA,0,0,0,NA,Y,0,0,1,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,50,NA,5,NA,NA,.
FRS,2,august,2016,18,17,N,0,WB,3,3,3,NA,0,0,0,NA,Y,0,0,1,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,50,NA,5,NA,NA,.
FRS,2,august,2016,18,18,Y,0,WB,16,1,1,NA,15.401,6.179,0,NA,Y,0,0,1,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,58.5,NA,5,NA,NA,.
FRS,2,august,2016,18,18,Y,0,WB,16,2,2,NA,30.88,12.994,0,NA,Y,0,0,1,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,58.5,NA,5,NA,NA,.
FRS,2,august,2016,18,18,Y,0,WB,16,3,3,NA,5.296,2.276,0,NA,Y,0,0,1,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,58.5,NA,5,NA,NA,.
FRS,2,august,2016,18,19,N,0,NB,10,1,1,NA,3.947,1.556,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,44.3,NA,5,NA,NA,.
FRS,2,august,2016,18,19,N,0,NB,10,2,2,NA,26.822,13.195,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,44.3,NA,5,NA,NA,.
FRS,2,august,2016,18,19,N,0,NB,10,3,3,NA,15.035,8.905,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,44.3,NA,5,NA,NA,.
FRS,2,august,2016,18,19,N,0,NB,10,4,4,NA,16.37,7.845,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,44.3,NA,5,NA,NA,.
FRS,2,august,2016,18,20,Y,0,NB,1,1,1,NA,16.338,7.349,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,55,NA,5,NA,NA,.
FRS,2,august,2016,18,20,Y,0,NB,1,2,2,NA,39.865,18.36,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,55,NA,5,NA,NA,.
FRS,2,august,2016,18,20,Y,0,NB,1,3,3,NA,21.73,10.299,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,55,NA,5,NA,NA,.
FRS,2,august,2016,18,20,Y,0,NB,1,4,4,NA,11.483,5.692,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,55,NA,5,NA,NA,.
FRS,2,august,2016,18,21,N,0,DC,7,1,1,NA,6.731,2.84,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,43,NA,5,NA,NA,.
FRS,2,august,2016,18,21,N,0,DC,7,2,2,NA,20.553,8.59,0.43,NA,Y,5.006,1,0,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,43,NA,5,NA,NA,.
FRS,2,august,2016,18,21,N,0,DC,7,3,3,NA,10.016,4.65,0.004,NA,Y,0.086,1,0,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,43,NA,5,NA,NA,.
FRS,2,august,2016,18,21,N,0,DC,7,4,4,NA,5.675,2.45,0.006,NA,Y,0.245,1,0,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,43,NA,5,NA,NA,.
FRS,2,august,2016,18,22,Y,0,LP,26,1,1,NA,7.628,2.496,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,15,NA,5,NA,NA,.
FRS,2,august,2016,18,22,Y,0,LP,26,2,2,NA,6.568,2.245,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,15,NA,5,NA,NA,.
FRS,2,august,2016,18,22,Y,0,LP,26,3,3,NA,7.236,2.578,0.001,NA,Y,0.039,1,0,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,15,NA,5,NA,NA,.
FRS,2,august,2016,18,22,Y,0,LP,26,4,4,NA,8.729,3.348,0,NA,Y,0.015,1,0,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,15,NA,5,NA,NA,.
FRS,2,august,2016,18,23,N,0,LP,34,1,1,NA,0.2,NA,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,19.5,NA,5,NA,NA,.
FRS,2,august,2016,18,23,N,0,LP,34,2,2,NA,11.416,3.715,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,19.5,NA,5,NA,NA,.
FRS,2,august,2016,18,23,N,0,LP,34,3,3,NA,4.492,1.591,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,19.5,NA,5,NA,NA,.
FRS,2,august,2016,18,23,N,0,LP,34,4,4,NA,13.43,5.039,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,19.5,NA,5,NA,NA,.
FRS,2,august,2016,18,24,Y,0,DC,9,1,1,NA,18,7.735,0,NA,N,0,0,1,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,42.1,NA,5,NA,NA,.
FRS,2,august,2016,18,24,Y,0,DC,9,2,2,NA,25.525,12.108,0,NA,Y,0,0,1,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,42.1,NA,5,NA,NA,.
FRS,2,august,2016,18,24,Y,0,DC,9,3,3,NA,9.516,4.63,0.44,NA,Y,9.503,1,0,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,42.1,NA,5,NA,NA,.
FRS,2,august,2016,17,25,N,0,LP,15,1,1,NA,3,0.938,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,35.6,NA,5,NA,NA,.
FRS,2,august,2016,17,25,N,0,LP,15,2,2,NA,15.807,5.367,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,35.6,NA,5,NA,NA,.
FRS,2,august,2016,17,25,N,0,LP,15,3,3,NA,26.205,9.062,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,35.6,NA,5,NA,NA,.
FRS,2,august,2016,17,25,N,0,LP,15,4,4,NA,8.526,3.18,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,35.6,NA,5,NA,NA,.
FRS,2,august,2016,17,26,Y,0,LP,29,1,1,NA,19.997,7.504,0,NA,N,0,0,1,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,37,NA,5,NA,NA,.
FRS,2,august,2016,17,26,Y,0,LP,29,2,2,NA,14.438,5.571,0.051,NA,Y,0.915,1,0,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,37,NA,5,NA,NA,.
FRS,2,august,2016,17,26,Y,0,LP,29,3,3,NA,17.868,7.362,0.043,NA,Y,0.584,1,0,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,37,NA,5,NA,NA,.
FRS,2,august,2016,17,26,Y,0,LP,29,4,4,NA,0,0,0,NA,Y,0,0,1,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,37,NA,5,NA,NA,.
FRS,2,august,2016,17,27,N,0,DC,24,1,1,NA,8.089,2.946,0,NA,N,0,0,1,2,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,30,NA,5,NA,NA,.
FRS,2,august,2016,17,27,N,0,DC,24,2,2,NA,6.642,2.732,0.034,NA,Y,1.245,1,0,2,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,30,NA,5,NA,NA,.
FRS,2,august,2016,17,28,Y,0,WB,7,1,1,NA,16.499,5.836,0,NA,N,0,0,1,2,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,38.5,NA,5,NA,NA,.
FRS,2,august,2016,17,28,Y,0,WB,7,2,2,NA,4.974,1.879,0,NA,Y,0,0,1,2,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,38.5,NA,5,NA,NA,.
FRS,2,august,2016,17,29,N,0,WB,4,1,1,NA,11.842,4.766,0,NA,N,0,0,1,2,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,52.5,NA,5,NA,NA,.
FRS,2,august,2016,17,29,N,0,WB,4,2,2,NA,22.793,9.909,0,NA,Y,0,0,1,2,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,52.5,NA,5,NA,NA,.
FRS,2,august,2016,17,30,Y,0,DC,22,1,1,NA,15.45,6.599,0,NA,N,0,0,1,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,36.5,NA,5,NA,NA,.
FRS,2,august,2016,17,30,Y,0,DC,22,2,2,NA,18.788,8.562,0,NA,Y,0,0,1,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,36.5,NA,5,NA,NA,.
FRS,2,august,2016,17,30,Y,0,DC,22,3,3,NA,8.707,4.276,0,NA,Y,0,0,1,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,36.5,NA,5,NA,NA,.
FRS,2,august,2016,17,31,N,0,NB,8,1,1,NA,9.707,3.342,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,28.5,NA,5,NA,NA,.
FRS,2,august,2016,17,31,N,0,NB,8,2,2,NA,18.911,7.379,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,28.5,NA,5,NA,NA,.
FRS,2,august,2016,17,31,N,0,NB,8,3,3,NA,20.822,7.829,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,28.5,NA,5,NA,NA,.
FRS,2,august,2016,17,31,N,0,NB,8,4,4,NA,7.271,2.963,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,28.5,NA,5,NA,NA,.
FRS,2,august,2016,17,32,Y,0,NB,20,1,1,NA,9.754,3.576,0,NA,N,0,0,1,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,16.2,NA,5,NA,NA,.
FRS,2,august,2016,17,32,Y,0,NB,20,2,2,NA,9.216,3.354,0,NA,Y,0,0,1,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,16.2,NA,5,NA,NA,.
FRS,2,august,2016,17,32,Y,0,NB,20,3,3,NA,5.217,1.898,0,NA,Y,0,0,1,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,16.2,NA,5,NA,NA,.
FRS,2,august,2016,16,33,N,0,DC,14,1,1,NA,16.626,7.149,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,42,NA,5,NA,NA,.
FRS,2,august,2016,16,33,N,0,DC,14,2,2,NA,22.294,9.851,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,42,NA,5,NA,NA,.
FRS,2,august,2016,16,33,N,0,DC,14,3,3,NA,6.336,2.546,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,42,NA,5,NA,NA,.
FRS,2,august,2016,16,33,N,0,DC,14,4,4,NA,11.771,5.266,0.009,NA,Y,0.171,1,0,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,42,NA,5,NA,NA,.
FRS,2,august,2016,16,34,Y,0,DC,13,1,1,NA,19.08,9.101,0,NA,N,0,0,1,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,39,NA,5,NA,NA,.
FRS,2,august,2016,16,34,Y,0,DC,13,2,2,NA,24.422,11.408,0.004,NA,N,0.035,1,0,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,39,NA,5,NA,NA,.
FRS,2,august,2016,16,34,Y,0,DC,13,3,3,NA,16.119,8.808,0,NA,Y,0,0,1,3,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,39,NA,5,NA,NA,.
FRS,2,august,2016,16,35,N,0,NB,27,1,1,NA,11.04,4.808,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,46.5,NA,5,NA,NA,.
FRS,2,august,2016,16,35,N,0,NB,27,2,2,NA,32.508,10.785,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,46.5,NA,5,NA,NA,.
FRS,2,august,2016,16,35,N,0,NB,27,3,3,NA,23.693,15.062,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,46.5,NA,5,NA,NA,.
FRS,2,august,2016,16,35,N,0,NB,27,4,4,NA,16.412,7.244,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,46.5,NA,5,NA,NA,.
FRS,2,august,2016,16,36,Y,0,LP,16,1,1,NA,4.192,1.667,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,46,NA,5,NA,NA,.
FRS,2,august,2016,16,36,Y,0,LP,16,2,2,NA,16.215,6.358,0,NA,N,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,46,NA,5,NA,NA,.
FRS,2,august,2016,16,36,Y,0,LP,16,3,3,NA,29.177,12.327,0,NA,Y,0,0,1,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,46,NA,5,NA,NA,.
FRS,2,august,2016,16,36,Y,0,LP,16,4,4,NA,7.632,3.252,0.019,NA,Y,0.584,1,0,4,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,46,NA,5,NA,NA,.
FRS,2,august,2016,16,37,N,0,WB,10,1,1,NA,11.138,5.073,0,NA,Y,0,0,1,2,0,NA,NA,NA,NA,N,NA,NA,NA,,1,NA,NA,50.8,NA,5,NA,NA,.
