researcher,month,day,year,site,quad,shoot.id,length.cm,no.leaves,leaf.length,lesion.pc,lesion.pc.2,leaf.no,tip.broken,no.shoots,sampling.area.m2,shoot.m2,notes
"FRS, TH, CH",july,24,2016,DC,1,a,93.5,5,NA,1,1,3,N,13,0.0625,208,.
"FRS, TH, CH",july,24,2016,DC,1,b,107.5,5,NA,0.1,0,3,N,13,0.0625,208,.
"FRS, TH, CH",july,24,2016,DC,1,c,85,4,NA,0.1,0,3,N,13,0.0625,208,.
"FRS, TH, CH",july,24,2016,DC,1,d,42.5,3,NA,0.1,0,2,N,13,0.0625,208,.
"FRS, TH, CH",july,24,2016,DC,1,e,52.5,4,NA,0.1,0,3,N,13,0.0625,208,.
"FRS, TH, CH",july,24,2016,DC,1,f,99,4,NA,10,10,3,Y,13,0.0625,208,.
"FRS, TH, CH",july,24,2016,DC,1,g,101,4,NA,1,1,3,N,13,0.0625,208,.
"FRS, TH, CH",july,24,2016,DC,1,h,80,4,NA,1,1,3,N,13,0.0625,208,.
"FRS, TH, CH",july,24,2016,DC,1,i,42.5,3,NA,1,1,3,N,13,0.0625,208,.
"FRS, TH, CH",july,24,2016,DC,1,j,62.5,3,NA,1,1,3,N,13,0.0625,208,.
"FRS, TH, CH",july,24,2016,DC,2,a,109.5,5,NA,1,1,3,Y,25,0.0625,400,.
"FRS, TH, CH",july,24,2016,DC,2,b,51.5,2,NA,1,1,2,N,25,0.0625,400,.
"FRS, TH, CH",july,24,2016,DC,2,c,54,3,NA,5,5,3,N,25,0.0625,400,.
"FRS, TH, CH",july,24,2016,DC,2,d,72,4,NA,0.1,0,3,N,25,0.0625,400,.
"FRS, TH, CH",july,24,2016,DC,2,e,77.5,4,NA,0.1,0,3,N,25,0.0625,400,.
"FRS, TH, CH",july,24,2016,DC,2,f,70.5,6,NA,0.1,0,3,N,25,0.0625,400,.
"FRS, TH, CH",july,24,2016,DC,2,g,76,4,NA,0,0,3,N,25,0.0625,400,.
"FRS, TH, CH",july,24,2016,DC,2,h,63.5,5,NA,0.1,0,3,N,25,0.0625,400,.
"FRS, TH, CH",july,24,2016,DC,2,i,32,4,NA,1,1,3,N,25,0.0625,400,.
"FRS, TH, CH",july,24,2016,DC,2,j,56,4,NA,5,5,3,N,25,0.0625,400,.
"FRS, TH, CH",july,24,2016,DC,3,a,74.5,6,NA,0,0,3,N,40,0.0625,640,.
"FRS, TH, CH",july,24,2016,DC,3,b,70.5,4,NA,1,1,3,N,40,0.0625,640,.
"FRS, TH, CH",july,24,2016,DC,3,c,84.5,5,NA,5,5,3,N,40,0.0625,640,.
"FRS, TH, CH",july,24,2016,DC,3,d,47.5,4,NA,5,5,3,N,40,0.0625,640,.
"FRS, TH, CH",july,24,2016,DC,3,e,74,4,NA,0.1,0,3,N,40,0.0625,640,.
"FRS, TH, CH",july,24,2016,DC,3,f,79.5,6,NA,0.1,0,3,N,40,0.0625,640,.
"FRS, TH, CH",july,24,2016,DC,3,g,70.5,5,NA,0.1,0,3,N,40,0.0625,640,.
"FRS, TH, CH",july,24,2016,DC,3,h,76,5,NA,0.1,0,3,N,40,0.0625,640,.
"FRS, TH, CH",july,24,2016,DC,3,i,73.5,5,NA,1,1,3,N,40,0.0625,640,.
"FRS, TH, CH",july,24,2016,DC,3,j,NA,NA,NA,NA,NA,NA,N,40,0.0625,640,.
"FRS, TH, CH",july,24,2016,DC,4,a,43,4,NA,0.1,0,3,N,24,0.0625,384,.
"FRS, TH, CH",july,24,2016,DC,4,b,78.5,4,NA,1,1,3,N,24,0.0625,384,.
"FRS, TH, CH",july,24,2016,DC,4,c,57.5,5,NA,0.1,0,3,N,24,0.0625,384,.
"FRS, TH, CH",july,24,2016,DC,4,d,90,4,NA,5,5,3,N,24,0.0625,384,.
"FRS, TH, CH",july,24,2016,DC,4,e,53.5,5,NA,1,1,3,N,24,0.0625,384,.
"FRS, TH, CH",july,24,2016,DC,4,f,62,4,NA,0.1,0,3,N,24,0.0625,384,.
"FRS, TH, CH",july,24,2016,DC,4,g,58,4,NA,0.1,0,3,N,24,0.0625,384,.
"FRS, TH, CH",july,24,2016,DC,4,h,71,5,NA,0,0,3,N,24,0.0625,384,.
"FRS, TH, CH",july,24,2016,DC,4,i,39,3,NA,1,1,3,N,24,0.0625,384,.
"FRS, TH, CH",july,24,2016,DC,4,j,62.5,5,NA,0.1,0,3,N,24,0.0625,384,.
"FRS, TH, CH",july,24,2016,DC,5,a,80.5,6,NA,1,1,3,N,35,0.0625,560,.
"FRS, TH, CH",july,24,2016,DC,5,b,80.5,4,NA,1,1,3,N,35,0.0625,560,.
"FRS, TH, CH",july,24,2016,DC,5,c,60.5,4,NA,1,1,3,N,35,0.0625,560,.
"FRS, TH, CH",july,24,2016,DC,5,d,71.5,5,NA,1,1,3,N,35,0.0625,560,.
"FRS, TH, CH",july,24,2016,DC,5,e,71,5,NA,0.1,0,3,N,35,0.0625,560,.
"FRS, TH, CH",july,24,2016,DC,5,f,83,3,NA,0.1,0,3,N,35,0.0625,560,.
"FRS, TH, CH",july,24,2016,DC,5,g,67.5,3,NA,40,40,3,N,35,0.0625,560,.
"FRS, TH, CH",july,24,2016,DC,5,h,77,4,NA,5,5,3,N,35,0.0625,560,.
"FRS, TH, CH",july,24,2016,DC,5,i,58.5,3,NA,80,80,3,N,35,0.0625,560,.
"FRS, TH, CH",july,24,2016,DC,5,j,96,3,NA,0.1,0,3,N,35,0.0625,560,.
"FRS, TH, CH",july,24,2016,DC,6,a,110,4,NA,20,20,3,Y,28,0.0625,448,.
"FRS, TH, CH",july,24,2016,DC,6,b,103.5,3,NA,0.1,0,3,N,28,0.0625,448,.
"FRS, TH, CH",july,24,2016,DC,6,c,73,4,NA,1,1,3,N,28,0.0625,448,.
"FRS, TH, CH",july,24,2016,DC,6,d,82,4,NA,1,1,3,N,28,0.0625,448,.
"FRS, TH, CH",july,24,2016,DC,6,e,115,5,NA,0.1,0,3,N,28,0.0625,448,.
"FRS, TH, CH",july,24,2016,DC,6,f,106,4,NA,0.1,0,3,N,28,0.0625,448,.
"FRS, TH, CH",july,24,2016,DC,6,g,72,4,NA,1,1,3,N,28,0.0625,448,.
"FRS, TH, CH",july,24,2016,DC,6,h,109,5,NA,1,1,3,N,28,0.0625,448,.
"FRS, TH, CH",july,24,2016,DC,6,i,41.5,3,NA,1,1,3,N,28,0.0625,448,.
"FRS, TH, CH",july,24,2016,DC,6,j,91.5,5,NA,0.1,0,3,N,28,0.0625,448,.
"FRS, TH, CH",july,24,2016,DC,7,a,74,4,NA,30,30,3,N,22,0.0625,352,.
"FRS, TH, CH",july,24,2016,DC,7,b,61.5,5,NA,1,1,3,N,22,0.0625,352,.
"FRS, TH, CH",july,24,2016,DC,7,c,70,4,NA,5,5,3,N,22,0.0625,352,.
"FRS, TH, CH",july,24,2016,DC,7,d,53.5,3,NA,1,1,2,N,22,0.0625,352,.
"FRS, TH, CH",july,24,2016,DC,7,e,79.5,5,NA,1,1,3,N,22,0.0625,352,.
"FRS, TH, CH",july,24,2016,DC,7,f,91,5,NA,3,3,3,N,22,0.0625,352,.
"FRS, TH, CH",july,24,2016,DC,7,g,78.5,4,NA,5,5,3,N,22,0.0625,352,.
"FRS, TH, CH",july,24,2016,DC,7,h,92.5,4,NA,1,1,3,N,22,0.0625,352,.
"FRS, TH, CH",july,24,2016,DC,7,i,76.5,4,NA,1,1,3,N,22,0.0625,352,.
"FRS, TH, CH",july,24,2016,DC,7,j,76.5,4,NA,5,5,3,N,22,0.0625,352,.
"FRS, TH, CH",july,24,2016,DC,8,a,70.5,4,NA,1,1,3,N,24,0.0625,384,.
"FRS, TH, CH",july,24,2016,DC,8,b,85,4,NA,0.1,0,3,N,24,0.0625,384,.
"FRS, TH, CH",july,24,2016,DC,8,c,101.5,4,NA,0.1,0,3,N,24,0.0625,384,.
"FRS, TH, CH",july,24,2016,DC,8,d,108,4,NA,1,1,3,N,24,0.0625,384,.
"FRS, TH, CH",july,24,2016,DC,8,e,108.5,4,NA,1,1,3,N,24,0.0625,384,.
"FRS, TH, CH",july,24,2016,DC,8,f,97.5,3,NA,1,1,3,N,24,0.0625,384,.
"FRS, TH, CH",july,24,2016,DC,8,g,76.5,2,NA,5,5,2,N,24,0.0625,384,.
"FRS, TH, CH",july,24,2016,DC,8,h,47.5,3,NA,5,5,3,N,24,0.0625,384,.
"FRS, TH, CH",july,24,2016,DC,8,i,99.5,4,NA,5,5,3,N,24,0.0625,384,.
"FRS, TH, CH",july,24,2016,DC,8,j,87.5,3,NA,40,40,3,N,24,0.0625,384,.
"FRS, TH, CH",july,24,2016,DC,9,a,110.5,4,NA,1,1,3,N,14,0.0625,224,.
"FRS, TH, CH",july,24,2016,DC,9,b,142,5,NA,0.1,0,3,N,14,0.0625,224,.
"FRS, TH, CH",july,24,2016,DC,9,c,126.5,4,NA,0.1,0,3,N,14,0.0625,224,.
"FRS, TH, CH",july,24,2016,DC,9,d,109,4,NA,0.1,0,3,Y,14,0.0625,224,.
"FRS, TH, CH",july,24,2016,DC,9,e,48,2,NA,0.1,0,2,N,14,0.0625,224,.
"FRS, TH, CH",july,24,2016,DC,9,f,108,5,NA,0.1,0,3,N,14,0.0625,224,.
"FRS, TH, CH",july,24,2016,DC,9,g,116,4,NA,0.1,0,3,N,14,0.0625,224,.
"FRS, TH, CH",july,24,2016,DC,9,h,91.5,3,NA,10,10,3,N,14,0.0625,224,.
"FRS, TH, CH",july,24,2016,DC,9,i,121,4,NA,5,5,3,N,14,0.0625,224,.
"FRS, TH, CH",july,24,2016,DC,9,j,105,4,NA,0.1,0,3,N,14,0.0625,224,.
"FRS, TH, CH",july,24,2016,DC,10,a,59.5,5,NA,0.1,0,3,N,16,0.0625,256,.
"FRS, TH, CH",july,24,2016,DC,10,b,96.5,5,NA,1,1,3,N,16,0.0625,256,.
"FRS, TH, CH",july,24,2016,DC,10,c,86.5,4,NA,1,1,3,N,16,0.0625,256,.
"FRS, TH, CH",july,24,2016,DC,10,d,97,5,NA,1,1,3,N,16,0.0625,256,.
"FRS, TH, CH",july,24,2016,DC,10,e,97,4,NA,5,5,3,N,16,0.0625,256,.
"FRS, TH, CH",july,24,2016,DC,10,f,103.5,4,NA,5,5,3,Y,16,0.0625,256,.
"FRS, TH, CH",july,24,2016,DC,10,g,35.5,5,NA,0.1,0,3,N,16,0.0625,256,.
